alpha,Filter,Pr,ePr,Theta_r,eTheta_r
29.6,Rc,3.46,0.12,-1.99,0.97
22.9,Rc,1.14,0.14,-5.51,3.49
20.3,Rc,0,0.31,-27.22,49.49
13.1,Rc,-0.91,0.51,89.75,16.03
