alpha,Filter,Pr,ePr,Theta_r,eTheta_r
38.7,Rc,7.5,0.37,-5.5,1.39
32.5,Rc,4.43,0.71,-8.8,4.39
31.5,Rc,3.72,0.44,-0.25,3.41
31.2,Ic,4.12,0.63,3.85,4.32
